5UTR	mut	treatment	ID	target	ct
Not1	mel	H2O	Not1-mel1	Rluc	22.81857109
Not1	mel	H2O	Not1-mel2	Rluc	22.59441757
Not1	mel	H2O	Not1-mel3	Rluc	23.25175285
Not1	mel	H2O	Not1-mel4	Rluc	22.94550896
Not1	mel	H2O	Not1-mel5	Rluc	22.83647346
Not1	mel	H2O	Not1-mel6	Rluc	22.6588192
Not1	yak	H2O	Not1-yak1	Rluc	22.3869648
Not1	yak	H2O	Not1-yak2	Rluc	22.83596039
Not1	yak	H2O	Not1-yak3	Rluc	22.35697556
Not1	yak	H2O	Not1-yak4	Rluc	22.15270233
Not1	yak	H2O	Not1-yak5	Rluc	22.88800812
Not1	yak	H2O	Not1-yak6	Rluc	22.77660751
Not1	mel	H2O	Not1-mel1	Rluc	22.93837547
Not1	mel	H2O	Not1-mel2	Rluc	22.46442032
Not1	mel	H2O	Not1-mel3	Rluc	23.42370605
Not1	mel	H2O	Not1-mel4	Rluc	22.78201294
Not1	mel	H2O	Not1-mel5	Rluc	22.47014236
Not1	mel	H2O	Not1-mel6	Rluc	22.48042297
Not1	yak	H2O	Not1-yak1	Rluc	22.20157433
Not1	yak	H2O	Not1-yak2	Rluc	22.62278557
Not1	yak	H2O	Not1-yak3	Rluc	22.31028938
Not1	yak	H2O	Not1-yak4	Rluc	22.09541702
Not1	yak	H2O	Not1-yak5	Rluc	22.68318748
Not1	yak	H2O	Not1-yak6	Rluc	22.56242561
Not1	mel	H2O	Not1-mel1	fluc	21.94023705
Not1	mel	H2O	Not1-mel2	fluc	21.72355843
Not1	mel	H2O	Not1-mel3	fluc	22.31549263
Not1	mel	H2O	Not1-mel4	fluc	22.26686096
Not1	mel	H2O	Not1-mel5	fluc	21.88862801
Not1	mel	H2O	Not1-mel6	fluc	21.68200684
Not1	yak	H2O	Not1-yak1	fluc	21.54319954
Not1	yak	H2O	Not1-yak2	fluc	21.89822197
Not1	yak	H2O	Not1-yak3	fluc	21.62561607
Not1	yak	H2O	Not1-yak4	fluc	21.45211601
Not1	yak	H2O	Not1-yak5	fluc	22.04722214
Not1	yak	H2O	Not1-yak6	fluc	21.85792923
Not1	mel	H2O	Not1-mel1	fluc	21.91515732
Not1	mel	H2O	Not1-mel2	fluc	21.74806976
Not1	mel	H2O	Not1-mel3	fluc	22.29592514
Not1	mel	H2O	Not1-mel4	fluc	22.33306313
Not1	mel	H2O	Not1-mel5	fluc	21.91386986
Not1	mel	H2O	Not1-mel6	fluc	21.62066078
Not1	yak	H2O	Not1-yak1	fluc	21.62680435
Not1	yak	H2O	Not1-yak2	fluc	21.93201637
Not1	yak	H2O	Not1-yak3	fluc	21.53331375
Not1	yak	H2O	Not1-yak4	fluc	21.44741821
Not1	yak	H2O	Not1-yak5	fluc	22.08060646
Not1	yak	H2O	Not1-yak6	fluc	21.84222031
Not1	sim	H2O	Not1-sim1	Rluc	22.85541153
Not1	sim	H2O	Not1-sim2	Rluc	22.67427826
Not1	sim	H2O	Not1-sim3	Rluc	23.26132202
